,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3
87,11500000000.0,-3.542584016E+01,-3.187486868E+01,11600000000.0,-3.351869833E+01,-1.499993411E+02,11700000000.0,"-3.458100250E+01
","1.111706992E+02
"
88,11500000000.0,-3.675001115E+01,-3.314290660E+01,11600000000.0,-3.323011069E+01,-1.563246411E+02,11700000000.0,"-3.563206001E+01
","1.087229304E+02
"
89,11500000000.0,-3.560613353E+01,-2.476969640E+01,11600000000.0,-3.278046976E+01,-1.415551101E+02,11700000000.0,"-3.541239887E+01
","1.199928499E+02
"
90,11500000000.0,-3.570632881E+01,-3.327790960E+01,11600000000.0,-3.322639560E+01,-1.384939695E+02,11700000000.0,"-3.578885168E+01
","1.150883815E+02
"
91,11500000000.0,-3.485946510E+01,-2.833740783E+01,11600000000.0,-3.311818986E+01,-1.449931365E+02,11700000000.0,"-3.503606050E+01
","1.148682953E+02
"
92,11500000000.0,-3.425696611E+01,-2.068284953E+01,11600000000.0,-3.229076778E+01,-1.406963850E+02,11700000000.0,"-3.389756380E+01
","1.208407637E+02
"
93,11500000000.0,-3.527065719E+01,-1.512457637E+01,11600000000.0,-3.319496185E+01,-1.352837972E+02,11700000000.0,"-3.517563285E+01
","1.358591806E+02
"
94,11500000000.0,-3.670958357E+01,-2.446951110E+00,11600000000.0,-3.416356535E+01,-1.242864518E+02,11700000000.0,"-3.603849735E+01
","1.411747013E+02
"
95,11500000000.0,-3.941878555E+01,-1.293544016E+01,11600000000.0,-3.621473877E+01,-1.342979628E+02,11700000000.0,"-3.862743072E+01
","1.322734317E+02
"
96,11500000000.0,-3.735350701E+01,-8.458047153E+00,11600000000.0,-3.620627692E+01,-1.272027890E+02,11700000000.0,"-3.799816474E+01
","1.347424353E+02
"
97,11500000000.0,-3.682227040E+01,-5.513111388E-01,11600000000.0,-3.414876477E+01,-1.158851973E+02,11700000000.0,"-3.673160582E+01
","1.440522358E+02
"
98,11500000000.0,-3.607111469E+01,-1.187015111E+01,11600000000.0,-3.392217633E+01,-1.265430749E+02,11700000000.0,"-3.652674749E+01
","1.323283499E+02
"
99,11500000000.0,-3.477833718E+01,-1.720775036E+01,11600000000.0,-3.206700569E+01,-1.383881152E+02,11700000000.0,"-3.411263178E+01
","1.231891841E+02
"
100,11500000000.0,-3.505442326E+01,-1.827197316E+01,11600000000.0,-3.279323865E+01,-1.418610302E+02,11700000000.0,"-3.455713066E+01
","1.242631792E+02
"
101,11500000000.0,-3.443836148E+01,-1.424516177E+01,11600000000.0,-3.226982230E+01,-1.373269380E+02,11700000000.0,"-3.427612481E+01
","1.239386932E+02
"
102,11500000000.0,-3.355609258E+01,-1.993137167E+01,11600000000.0,-3.206704498E+01,-1.383726670E+02,11700000000.0,"-3.448655328E+01
","1.188583082E+02
"
103,11500000000.0,-3.527124293E+01,-3.377217051E+01,11600000000.0,-3.237677358E+01,-1.507765531E+02,11700000000.0,"-3.546248569E+01
","1.117703631E+02
"
104,11500000000.0,-3.503001240E+01,-2.602899201E+01,11600000000.0,-3.284195434E+01,-1.487905578E+02,11700000000.0,"-3.501594227E+01
","1.105444020E+02
"
105,11500000000.0,-3.421393074E+01,-1.935052975E+01,11600000000.0,-3.246132777E+01,-1.365373074E+02,11700000000.0,"-3.448860734E+01
","1.175774562E+02
"
106,11500000000.0,-3.597779580E+01,-2.749280683E+01,11600000000.0,-3.301504922E+01,-1.455335203E+02,11700000000.0,"-3.561056780E+01
","1.141783680E+02
"
107,11500000000.0,-3.530808301E+01,-2.627156755E+01,11600000000.0,-3.337787565E+01,-1.525333957E+02,11700000000.0,"-3.491471004E+01
","1.093448241E+02
"
108,11500000000.0,-3.401319729E+01,-1.512327721E+01,11600000000.0,-3.198572753E+01,-1.360046277E+02,11700000000.0,"-3.405936894E+01
","1.188279046E+02
"
109,11500000000.0,-3.486812411E+01,-9.577176038E+00,11600000000.0,-3.231853505E+01,-1.307482165E+02,11700000000.0,"-3.494219559E+01
","1.367100554E+02
"
110,11500000000.0,-3.588114504E+01,-5.977600318E+00,11600000000.0,-3.400492626E+01,-1.232023787E+02,11700000000.0,"-3.660136676E+01
","1.323683669E+02
"
